eligiblility,notes,additional notes,Authors,Title,Volume,Issue,Source,Start page,End page,DOI,URL
0,,,"Staller, H., Rainer, E., Heimrath, R., Halmdienst, C., Mart??n, C.V., Grabner, M.",#NAME?,115,,Energy and Buildings,138,147,10.1016/j.enbuild.2015.06.049,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936159691&doi=10.1016%2fj.enbuild.2015.06.049&partnerID=40&md5=9d061bf0df9bb7bdc8a1e4f3809a0c41
0,,,"Ravetz, Joe",State of the stock - what do we know about existing buildings and their future prospects?,36,12,Energy policy,4462,4470,,http://ezproxy.lib.gla.ac.uk/login?url=https://www.proquest.com/docview/37055813?accountid=14540&bdid=29236&_bd=3soFQEuOwDhyfN3ddnBZcpWKMSU%3D
0,,,"Joelsson, A; Gustavsson, L",Energy efficiency measures and conversion of fossil fuel boiler systems in a detached house,3,3,ENERGY EFFICIENCY,223,236,10.1007/s12053-009-9062-x,http://dx.doi.org/10.1007/s12053-009-9062-x
1,clear,,"Aydin, Erdal; Brounen, Dirk; Kok, Nils",The Capitalization of Energy Efficiency: Evidence from the Housing Market,117,,Journal of Urban Economics,,,10.1016/j.jue.2020.103243,https://search.ebscohost.com/login.aspx?direct=true&db=ecn&AN=1832757&site=ehost-live
0,office,,"Paiho, S., Saastamoinen, H., Karjalainen, S.",Promoting energy services in offices: How do office workers see their role?,33,,Journal of Building Engineering,,,10.1016/j.jobe.2020.101602,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087328964&doi=10.1016%2fj.jobe.2020.101602&partnerID=40&md5=3c401e1ac5fd1a7df915622641d38128
0,,,"Roper, KO; Beard, JL",Justifying sustainable buildings - championing green operations,8,2,JOURNAL OF CORPORATE REAL ESTATE,91,+,10.1108/14630010610679899,http://dx.doi.org/10.1108/14630010610679899
0,,,"Aste, N; Del Pero, C",Energy retrofit of commercial buildings: case study and applied methodology,6,2,ENERGY EFFICIENCY,407,423,10.1007/s12053-012-9168-4,http://dx.doi.org/10.1007/s12053-012-9168-4
0,,,"Aberg, M; Henning, D",Optimisation of a Swedish district heating system with reduced heat demand due to energy efficiency measures in residential buildings,39,12,Energy policy,7839,7852,,http://ezproxy.lib.gla.ac.uk/login?url=https://www.proquest.com/docview/1027673343?accountid=14540&bdid=29236&_bd=y7CiK8sVXhZn4FkooctPIghwluA%3D
1,clear,,"Evangelista, R., Ramalho, E.A., Andrade e Silva, J.",On the use of hedonic regression models to measure the effect of energy efficiency on residential property transaction prices: Evidence for Portugal and selected data issues,86,,Energy Economics,,,10.1016/j.eneco.2020.104699,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079323676&doi=10.1016%2fj.eneco.2020.104699&partnerID=40&md5=e66633e35233345ba1da4c21ec29085e
0,,,"Houwing, M; Negenborn, RR; De Schutter, B",Economic Advantages of Applying Model Predictive Control to Distributed Energy Resources: The Case of Micro-CHP Systems,,,"2008 MEDITERRANEAN CONFERENCE ON CONTROL AUTOMATION, VOLS 1-4",1778,+,,
0,,,"Peterman, Andrew; Kourula, Arno; Levitt, Raymond",A roadmap for navigating voluntary and mandated programs for building energy efficiency,43,,Energy Policy,415,,,http://ezproxy.lib.gla.ac.uk/login?url=https://www.proquest.com/docview/923599234?accountid=14540&bdid=29236&_bd=B58Tug%2F8kEx2dxa9Sg%2Bg2htIO7g%3D
0,,,[No author name available],"8th International Conference on Decision Support System Technology, ICDSST 2022",447 LNBIP,,Lecture Notes in Business Information Processing,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131215056&partnerID=40&md5=80d4c4b083d4d15e4549a1b491c45de1
0,,,"Hong, Tianzhen; Li, Cheng; Yan, Da",Updates to the China Design Standard for Energy Efficiency in public buildings,87,,Energy Policy,187,,,http://ezproxy.lib.gla.ac.uk/login?url=https://www.proquest.com/docview/1730037495?accountid=14540&bdid=29236&_bd=gFCxO2gvjMj80rsM6J9szJx16N4%3D
0,,,"Lee, H.W., Ballard, G., Tommelein, I.D.",Developing a Target Value Design protocol for commercial energy retrofits - Part 1,,,"Construction Research Congress 2012: Construction Challenges in a Flat World, Proceedings of the 2012 Construction Research Congress",1710,1719,10.1061/9780784412329.172,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866263418&doi=10.1061%2f9780784412329.172&partnerID=40&md5=37ef1fe919a3466bdef5fec30c8255f5
0,,,"Burlakova, I., Kovalov, B., ??auer, P., Dvo????k, A.",Transformation mechanisms of transition to the model of ?€?green?€?economy in Ukraine,8,5,Journal of Environmental Management and Tourism,1029,1040,10.14505/jemt.v8.5(21).07,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042355590&doi=10.14505%2fjemt.v8.5%2821%29.07&partnerID=40&md5=339e4cc04ac34ec9f22b0f3d4f7ef791
0,,,"Blasch, J.E., Filippini, M., Kumar, N., Martinez-Cruz, A.L.",Boosting the choice of energy-efficient home appliances: the effectiveness of two types of decision support,54,31,Applied Economics,3598,3620,10.1080/00036846.2021.2014395,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122851433&doi=10.1080%2f00036846.2021.2014395&partnerID=40&md5=111e64946ff03e3e222c2976a8f2dba5
0,,,,COMPETITION HONORS ENERGY EFFICIENT BUILDERS.,7,6,Environmental Design & Construction,8,0,,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=13795979&site=ehost-live
0,,,,Energy Matters.,28,7,Commercial Property Executive,4,0,,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=97205562&site=ehost-live
0,,,"Li, YA; Zuo, WJ; Wang, X; Xiong, CX; Li, QA",Analysis On Challenges In The Extension Of Green Energy-saving Residence And Its Countermeasures,,,"PROCEEDINGS OF 2010 INTERNATIONAL CONFERENCE OF ASIA PACIFIC NETWORK FOR HOUSING RESEARCH: HOUSING AFFORDABILITY, SUSTAINABILITY AND LIVABILITY: TOWARDS A COMPARATIVE APPROACH",448,455,,
0,Australia,,"Fuerst, Franz; Warren-Myers, Georgia",Does voluntary disclosure create a green lemon problem? Energy-efficiency ratings and house prices.,74,,Energy Economics,1,12,10.1016/j.eneco.2018.04.041,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=131630617&site=ehost-live
0,,,"Tagliabue, LC; Manfren, M",SUSTAINABILITY INDICATORS FOR BUILDINGS: NETWORK ANALYSIS AND VISUALIZATION,,,EXPANDING BOUNDARIES: SYSTEMS THINKING IN THE BUILT ENVIRONMENT,602,607,,
0,,,"Poletti, A., Iannetti, R., Berardi, M.",Deep energy retrofitting of building: The decision-making and valuation process through passive house standard,17,63,"International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM",479,486,10.5593/sgem2017H/63/S26.061,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063108106&doi=10.5593%2fsgem2017H%2f63%2fS26.061&partnerID=40&md5=24a8b8a5b5737a5f0ed5f8b32b6cb00b
1,clear,,"Khazal, A; Sonstebo, OJ",Valuation of energy performance certificates in the rental market - Professionals vs. nonprofessionals,147,,ENERGY POLICY,,,10.1016/j.enpol.2020.111830,http://dx.doi.org/10.1016/j.enpol.2020.111830
0,,,"Yang, E; Guevara-Ramirez, JS; Bisson, C",FINDING EVIDENCE OF GREEN LEASING IN UNITED STATES GOVERNMENT-LEASED PROPERTIES,15,1,JOURNAL OF GREEN BUILDING,55,72,,
0,,,"Wood, Gavin; Ong, Rachel; McMurray, Clinton","Housing Tenure, Energy Consumption and the Split-Incentive Issue in Australia",12,4,European Journal of Housing Policy,439,,,http://ezproxy.lib.gla.ac.uk/login?url=https://www.proquest.com/docview/1857757061?accountid=14540&bdid=29236&_bd=S0F2I%2F8QfAKvmwiOFgcjMCqreNw%3D
0,,,"Szumilo, N; Fuerst, F",Income risk in energy efficient office buildings,34,,SUSTAINABLE CITIES AND SOCIETY,309,320,10.1016/j.scs.2017.06.024,http://dx.doi.org/10.1016/j.scs.2017.06.024
0,,,"Greco, A., Giacometti, V., Rota, M., Senaldi, I.E., Penna, A.",Integrated strategies for preserving and enhancing the historical heritage of the University of Pavia,13,2,Sustainability (Switzerland),1,25,10.3390/su13020783,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099417322&doi=10.3390%2fsu13020783&partnerID=40&md5=2ee3e50c397652448697b0719004fe86
0,,,"Matsson-Teig, Beth",2008 Green Building Survey.,37,11,Retail Traffic,3,7,,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=35374216&site=ehost-live
0,,,"Owusu-Manu, DG; Quaigrain, RA; Edwards, DJ; Hammond, M; Hammond, M; Roberts, C",Energy conservation literacy among households in Sub-Sahara Africa,16,6,INTERNATIONAL JOURNAL OF ENERGY SECTOR MANAGEMENT,1130,1149,10.1108/IJESM-09-2021-0010,http://dx.doi.org/10.1108/IJESM-09-2021-0010
0,,,"Romanach, L., Hall, N., Meikle, S.",Energy consumption in an ageing population: Exploring energy use and behaviour of low-income older Australians,121,,Energy Procedia,246,253,10.1016/j.egypro.2017.08.024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031995857&doi=10.1016%2fj.egypro.2017.08.024&partnerID=40&md5=374a08016c8fbcf863c3af7ac1e21daa
0,,,"Pannier, ML; Recht, T; Robillart, M; Schalbart, P; Peuportier, B; Mora, L",Identifying optimal renovation schedules for building portfolios: Application in a social housing context under multi-year funding constraints,250,,ENERGY AND BUILDINGS,,,10.1016/j.enbuild.2021.111290,http://dx.doi.org/10.1016/j.enbuild.2021.111290
0,,,"Mounty, Peter",Time to put HIPs out of their misery.,,,Mortgage Strategy,38,0,,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=25360812&site=ehost-live
0,,,"Jalas, Mikko; Rinkinen, Jenny",Valuing energy solutions in the housing markets: the role of market devices and real estate agents,37,4,Housing Studies,556,577,,http://ezproxy.lib.gla.ac.uk/login?url=https://www.proquest.com/docview/2655995431?accountid=14540&bdid=29236&_bd=4xEyJX8BZ8RVxtP0tC8cCNHj41U%3D
1,clear,,"Groh, A., Kuhlwein, H., Bienert, S.",Does Retrofitting Pay Off? An Analysis of German Multifamily Building Data,14,1,Journal of Sustainable Real Estate,95,112,10.1080/19498276.2022.2135188,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143142591&doi=10.1080%2f19498276.2022.2135188&partnerID=40&md5=d4f14895153b779da667dbcf1ec2dc95
0,,,"Arnold, ME; Merta, ES",Towards energy self-sufficiency in wastewater treatment by optimized sludge treatment,6,4,WATER PRACTICE AND TECHNOLOGY,,,10.2166/wpt.2011.069,http://dx.doi.org/10.2166/wpt.2011.069
0,life cycle cost of housing,,"Cu??llar-Franca, R.M., Azapagic, A.",Life cycle cost analysis of the UK housing stock,19,1,International Journal of Life Cycle Assessment,174,193,10.1007/s11367-013-0610-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893718403&doi=10.1007%2fs11367-013-0610-4&partnerID=40&md5=df1b27d903f25bd219c7874429037be6
0,,,"Hu, B., Sun, W.P.",Research on green residential buildings based on energy efficiency and renewable energy,361-363,,Applied Mechanics and Materials,331,334,10.4028/www.scientific.net/AMM.361-363.331,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883279672&doi=10.4028%2fwww.scientific.net%2fAMM.361-363.331&partnerID=40&md5=f53b0e23bf6c3b9d58272d26e05b77cc
0,,,"Olympios, AV; Aunedi, M; Mersch, M; Krishnaswamy, A; Stollery, C; Pantaleo, AM; Sapin, P; Strbac, G; Markides, CN",Delivering net-zero carbon heat: Technoeconomic and whole-system comparisons of domestic electricity- and hydrogen-driven technologies in the UK,262,,ENERGY CONVERSION AND MANAGEMENT,,,10.1016/j.enconman.2022.115649,http://dx.doi.org/10.1016/j.enconman.2022.115649
0,,,"Madsen, Jana J.",A Legislative Update.,100,6,Buildings,92,3,,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=21310731&site=ehost-live
0,wider literature,"building energy efficiency, aesthetic features and marketability","Aydin, Y.C., Mirzaei, P.A., Akhavannasab, S.","On the relationship between building energy efficiency, aesthetic features and marketability: Toward a novel policy for energy demand reduction",128,,Energy Policy,593,606,10.1016/j.enpol.2018.12.036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060652480&doi=10.1016%2fj.enpol.2018.12.036&partnerID=40&md5=fb45197ecd9b8b73001f63bd0b8b2842
18,,,,,,,,,,,
